Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
HCV-1b/CH/BID-V284/2005	Hepatitis C virus subtype 1b	1b	EU256078	9332	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V285/2005	Hepatitis C virus subtype 1b	1b	EU155363	9329	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V286/2005	Hepatitis C virus subtype 1b	1b	EU256079	9330	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V287/2005	Hepatitis C virus subtype 1b	1b	EU482874	9332	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V288/2006	Hepatitis C virus subtype 1b	1b	EU155364	9329	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V289/2006	Hepatitis C virus subtype 1b	1b	EU155365	9330	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V291/2002	Hepatitis C virus subtype 1b	1b	EU529682	9047	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V292/2002	Hepatitis C virus subtype 1b	1b	EU256080	9329	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V293/2002	Hepatitis C virus subtype 1b	1b	EU256081	9328	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V294/2002	Hepatitis C virus subtype 1b	1b	EU155366	9329	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V295/2002	Hepatitis C virus subtype 1b	1b	EU155367	9329	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V296/2001	Hepatitis C virus subtype 1b	1b	EU155368	9329	2001	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V297/2002	Hepatitis C virus subtype 1b	1b	EU155369	9330	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V298/2005	Hepatitis C virus subtype 1b	1b	EU256082	9330	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V299/2005	Hepatitis C virus subtype 1b	1b	EU256083	9329	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V300/2005	Hepatitis C virus subtype 1b	1b	EU155370	9329	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V301/2005	Hepatitis C virus subtype 1b	1b	EU155371	9329	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V302/2003	Hepatitis C virus subtype 1b	1b	EU482860	9329	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V303/2003	Hepatitis C virus subtype 1b	1b	EU256084	9335	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V304/2004	Hepatitis C virus subtype 1b	1b	EU862837	9336	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V305/2003	Hepatitis C virus subtype 1b	1b	EU256085	9330	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V306/2004	Hepatitis C virus subtype 1b	1b	EU155372	9329	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V307/2005	Hepatitis C virus subtype 1b	1b	EU155373	9329	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V308/2005	Hepatitis C virus subtype 1b	1b	EU155374	9351	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V309/2006	Hepatitis C virus subtype 1b	1b	EU155375	9329	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V310/2005	Hepatitis C virus subtype 1b	1b	EU482875	9332	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V311/2006	Hepatitis C virus subtype 1b	1b	EU155376	9329	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V312/2006	Hepatitis C virus subtype 1b	1b	EU255960	9329	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/CH/BID-V313/2006	Hepatitis C virus subtype 1b	1b	EU155377	9330	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1b/DE/BID-V502/2004	Hepatitis C virus subtype 1b	1b	EU155381	9329	2004	Human	Homo sapiens	Germany	genomic RNA	
HCV-1b/DE/BID-V503/2003	Hepatitis C virus subtype 1b	1b	EU482833	9329	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1b/DE/BID-V504/2003	Hepatitis C virus subtype 1b	1b	EU155382	9333	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1b/US/BID-V121/1992	Hepatitis C virus subtype 1b	1b	EU155324	9329	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V122/1991	Hepatitis C virus subtype 1b	1b	EU155325	9329	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V123/1992	Hepatitis C virus subtype 1b	1b	EU482888	9333	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V124/1992	Hepatitis C virus subtype 1b	1b	EU155326	9330	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V125/1992	Hepatitis C virus subtype 1b	1b	EU155327	9320	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V126/1991	Hepatitis C virus subtype 1b	1b	EU234061	9329	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V127/1992	Hepatitis C virus subtype 1b	1b	EU155328	9329	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V128/1992	Hepatitis C virus subtype 1b	1b	EU155329	9329	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V130/1994	Hepatitis C virus subtype 1b	1b	EU155330	9411	1994	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V131/1990	Hepatitis C virus subtype 1b	1b	EU155331	9329	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V132/1996	Hepatitis C virus subtype 1b	1b	EU155332	9329	1996	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V133/1989	Hepatitis C virus subtype 1b	1b	EU155333	9318	1989	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V134/1990	Hepatitis C virus subtype 1b	1b	EU155334	9329	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V135/1992	Hepatitis C virus subtype 1b	1b	EU234062	9329	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V136/1992	Hepatitis C virus subtype 1b	1b	EU155335	9329	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V137/1991	Hepatitis C virus subtype 1b	1b	EU255961	9332	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V138/1989	Hepatitis C virus subtype 1b	1b	EU482849	9329	1989	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V139/1992	Hepatitis C virus subtype 1b	1b	EU155336	9329	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V140/1991	Hepatitis C virus subtype 1b	1b	EU255962	9047	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V141/1990	Hepatitis C virus subtype 1b	1b	EU155337	9329	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V142/2004	Hepatitis C virus subtype 1b	1b	EU155217	9330	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V143/2003	Hepatitis C virus subtype 1b	1b	EU256000	9329	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V144/2002	Hepatitis C virus subtype 1b	1b	EU256001	9342	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V145/2005	Hepatitis C virus subtype 1b	1b	EU155218	9331	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V146/2002	Hepatitis C virus subtype 1b	1b	EU155219	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V147/2004	Hepatitis C virus subtype 1b	1b	EU155220	9316	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V148/2004	Hepatitis C virus subtype 1b	1b	EU155221	9330	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V149/2003	Hepatitis C virus subtype 1b	1b	EU256088	9329	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V150/2004	Hepatitis C virus subtype 1b	1b	EU155222	9329	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V151/2002	Hepatitis C virus subtype 1b	1b	EU155223	9335	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V152/2003	Hepatitis C virus subtype 1b	1b	EU155224	9330	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V153/2005	Hepatitis C virus subtype 1b	1b	EU482883	9335	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V154/2001	Hepatitis C virus subtype 1b	1b	EU660388	9330	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V155/2003	Hepatitis C virus subtype 1b	1b	EU155225	9330	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V156/2004	Hepatitis C virus subtype 1b	1b	EU155226	9329	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V157/2003	Hepatitis C virus subtype 1b	1b	EU155227	9329	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V158/2003	Hepatitis C virus subtype 1b	1b	EU155228	9329	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V159/2004	Hepatitis C virus subtype 1b	1b	EU155229	9329	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V160/2002	Hepatitis C virus subtype 1b	1b	EU155230	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V161/2002	Hepatitis C virus subtype 1b	1b	EU256089	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V162/2002	Hepatitis C virus subtype 1b	1b	EU256090	9330	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V163/2002	Hepatitis C virus subtype 1b	1b	EU155231	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V164/2002	Hepatitis C virus subtype 1b	1b	EU155232	9331	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V1704/2007	Hepatitis C virus subtype 1b	1b	FJ024086	9326	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V1711/2007	Hepatitis C virus subtype 1b	1b	FJ024277	9329	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V1715/2007	Hepatitis C virus subtype 1b	1b	FJ024279	9329	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V1748/2007	Hepatitis C virus subtype 1b	1b	FJ390396	9330	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V1749/2008	Hepatitis C virus subtype 1b	1b	FJ390397	9329	2008	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V1750/2008	Hepatitis C virus subtype 1b	1b	FJ390398	9329	2008	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V2148/1999	Hepatitis C virus subtype 1b	1b	FJ478453	9329	1999	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V220/2005	Hepatitis C virus subtype 1b	1b	EU256059	9329	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V341/2003	Hepatitis C virus subtype 1b	1b	EU155300	9328	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V342/2001	Hepatitis C virus subtype 1b	1b	EU482877	9335	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V343/2002	Hepatitis C virus subtype 1b	1b	EU256098	9344	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V344/2001	Hepatitis C virus subtype 1b	1b	EU155301	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V345/2001	Hepatitis C virus subtype 1b	1b	EU155302	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V346/2001	Hepatitis C virus subtype 1b	1b	EU155303	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V347/2003	Hepatitis C virus subtype 1b	1b	EU155304	9058	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V348/2002	Hepatitis C virus subtype 1b	1b	EU256099	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V349/2002	Hepatitis C virus subtype 1b	1b	EU256100	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V350/2002	Hepatitis C virus subtype 1b	1b	EU155305	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V351/2002	Hepatitis C virus subtype 1b	1b	EU256101	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V352/2002	Hepatitis C virus subtype 1b	1b	EU155306	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V353/2002	Hepatitis C virus subtype 1b	1b	EU155307	9330	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V354/2003	Hepatitis C virus subtype 1b	1b	EU155308	9329	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V355/2006	Hepatitis C virus subtype 1b	1b	EU660386	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V363/2006	Hepatitis C virus subtype 1b	1b	EU155253	9332	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V364/2006	Hepatitis C virus subtype 1b	1b	EU256061	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V365/2006	Hepatitis C virus subtype 1b	1b	EU155254	9330	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V366/2006	Hepatitis C virus subtype 1b	1b	EU155255	9335	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V367/2006	Hepatitis C virus subtype 1b	1b	EU155256	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V368/2006	Hepatitis C virus subtype 1b	1b	EU256062	9332	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V369/2006	Hepatitis C virus subtype 1b	1b	EU155257	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V370/2006	Hepatitis C virus subtype 1b	1b	EU482839	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V371/2006	Hepatitis C virus subtype 1b	1b	EU155258	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V372/2006	Hepatitis C virus subtype 1b	1b	EU482879	9332	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V373/2006	Hepatitis C virus subtype 1b	1b	EU482880	9332	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V374/2006	Hepatitis C virus subtype 1b	1b	EU155259	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V375/2006	Hepatitis C virus subtype 1b	1b	EU155260	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V376/2006	Hepatitis C virus subtype 1b	1b	EU256064	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V377/2006	Hepatitis C virus subtype 1b	1b	EU256065	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V379/2005	Hepatitis C virus subtype 1b	1b	EU155261	9330	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V380/2003	Hepatitis C virus subtype 1b	1b	EU256045	9329	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V381/2001	Hepatitis C virus subtype 1b	1b	EU155262	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V382/2003	Hepatitis C virus subtype 1b	1b	EU256066	9330	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V383/2003	Hepatitis C virus subtype 1b	1b	EU482881	9338	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V384/2005	Hepatitis C virus subtype 1b	1b	EU155263	9328	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V385/2006	Hepatitis C virus subtype 1b	1b	EU155264	9307	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V415/2001	Hepatitis C virus subtype 1b	1b	EU256102	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V416/2001	Hepatitis C virus subtype 1b	1b	EU155315	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V417/2001	Hepatitis C virus subtype 1b	1b	EU239714	9330	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V418/2001	Hepatitis C virus subtype 1b	1b	EU256103	9326	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V419/2002	Hepatitis C virus subtype 1b	1b	EU155316	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V420/2002	Hepatitis C virus subtype 1b	1b	EU155317	9329	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V421/2005	Hepatitis C virus subtype 1b	1b	EU155318	9329	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V441/2001	Hepatitis C virus subtype 1b	1b	EU155279	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V442/2001	Hepatitis C virus subtype 1b	1b	EU155280	9329	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V443/2001	Hepatitis C virus subtype 1b	1b	EU256054	9341	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V447/2006	Hepatitis C virus subtype 1b	1b	EU155234	9333	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V448/2006	Hepatitis C virus subtype 1b	1b	EU482885	9332	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V449/2006	Hepatitis C virus subtype 1b	1b	EU155235	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V455/2006	Hepatitis C virus subtype 1b	1b	EU256091	9047	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V458/2006	Hepatitis C virus subtype 1b	1b	EU482886	9333	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V463/2006	Hepatitis C virus subtype 1b	1b	EU256092	9329	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1b/US/BID-V512/2005	Hepatitis C virus subtype 1b	1b	EU155281	9329	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-K	Hepatitis C virus subtype 1b	1b	AB249644	9573	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
HCV-KT1	Hepatitis C virus subtype 1b	1b	AB426117	9559	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
HCV-L2	Hepatitis C virus subtype 1b	1b	U01214	9446	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-N	Hepatitis C virus subtype 1b	1b	AF139594	9616	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-N	Hepatitis C virus subtype 1b	1b	S62220	9440	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
HCV-S	Hepatitis C virus subtype 1b	1b	AY460204	9577	-N/A-	Unknown	-N/A-	China	genomic RNA	
HCV-S1	Hepatitis C virus subtype 1b	1b	AF356827	9609	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-TR1	Hepatitis C virus subtype 1b	1b	AF483269	9361	-N/A-	Unknown	-N/A-	Turkey	genomic RNA	
HD-1	Hepatitis C virus subtype 1b	1b	U45476	9431	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HeBei	Hepatitis C virus subtype 1b	1b	L02836	9400	-N/A-	Unknown	-N/A-	China	genomic RNA	
KAH4	Hepatitis C virus subtype 1b	1b	AB442221	9587	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
KAH5	Hepatitis C virus subtype 1b	1b	AB442220	9587	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
L801	Hepatitis C virus subtype 1b	1b	EU781827	9413	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
L8135	Hepatitis C virus subtype 1b	1b	EU781826	9440	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
L825P	Hepatitis C virus subtype 1b	1b	EU781825	9353	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
LB	Hepatitis C virus subtype 1b	1b	GU133617	9646	-N/A-	Human	Homo sapiens	USA	genomic RNA	
LyHCVpmbcSR	Hepatitis C virus subtype 1b	1b	AB779679	9381	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
LyHCVserumSR	Hepatitis C virus subtype 1b	1b	AB779562	9454	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
MD1-1	Hepatitis C virus subtype 1b	1b	AF165045	9389	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD1-2	Hepatitis C virus subtype 1b	1b	AF165046	9389	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD10-1	Hepatitis C virus subtype 1b	1b	AF165063	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD10-2	Hepatitis C virus subtype 1b	1b	AF165064	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD11	Hepatitis C virus subtype 1b	1b	AF207752	9375	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD12	Hepatitis C virus subtype 1b	1b	AF207753	9374	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD13	Hepatitis C virus subtype 1b	1b	AF207754	9375	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD14	Hepatitis C virus subtype 1b	1b	AF207755	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD15	Hepatitis C virus subtype 1b	1b	AF207756	9377	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD16	Hepatitis C virus subtype 1b	1b	AF207757	9375	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD17	Hepatitis C virus subtype 1b	1b	AF207758	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD18	Hepatitis C virus subtype 1b	1b	AF207759	9388	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD19	Hepatitis C virus subtype 1b	1b	AF207760	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD2-1	Hepatitis C virus subtype 1b	1b	AF165047	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD2-2	Hepatitis C virus subtype 1b	1b	AF165048	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD20	Hepatitis C virus subtype 1b	1b	AF207761	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD21	Hepatitis C virus subtype 1b	1b	AF207762	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD22	Hepatitis C virus subtype 1b	1b	AF207763	9377	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD23	Hepatitis C virus subtype 1b	1b	AF207764	9368	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD24	Hepatitis C virus subtype 1b	1b	AF207765	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD25	Hepatitis C virus subtype 1b	1b	AF207766	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD26	Hepatitis C virus subtype 1b	1b	AF207767	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD27	Hepatitis C virus subtype 1b	1b	AF207768	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD28	Hepatitis C virus subtype 1b	1b	AF207769	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD29	Hepatitis C virus subtype 1b	1b	AF207770	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD3-1	Hepatitis C virus subtype 1b	1b	AF165049	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD3-2	Hepatitis C virus subtype 1b	1b	AF165050	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD30	Hepatitis C virus subtype 1b	1b	AF207771	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD31	Hepatitis C virus subtype 1b	1b	AF207772	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD32	Hepatitis C virus subtype 1b	1b	AF207773	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD33	Hepatitis C virus subtype 1b	1b	AF207774	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD34	Hepatitis C virus subtype 1b	1b	AF208024	9373	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD4-1	Hepatitis C virus subtype 1b	1b	AF165051	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD4-2	Hepatitis C virus subtype 1b	1b	AF165052	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD5-1	Hepatitis C virus subtype 1b	1b	AF165053	9369	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD5-2	Hepatitis C virus subtype 1b	1b	AF165054	9369	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD6-1	Hepatitis C virus subtype 1b	1b	AF165055	9386	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD6-2	Hepatitis C virus subtype 1b	1b	AF165056	9386	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD7-1	Hepatitis C virus subtype 1b	1b	AF165057	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD7-2	Hepatitis C virus subtype 1b	1b	AF165058	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD8-1	Hepatitis C virus subtype 1b	1b	AF165059	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD8-2	Hepatitis C virus subtype 1b	1b	AF165060	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD9-1	Hepatitis C virus subtype 1b	1b	AF165061	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MD9-2	Hepatitis C virus subtype 1b	1b	AF165062	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
N589	Hepatitis C virus subtype 1b	1b	AY587844	9365	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
NC1	Hepatitis C virus subtype 1b	1b	AB691953	9607	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
PR26	Hepatitis C virus subtype 1b	1b	HQ912956	9033	08/30/2007	Human	Homo sapiens	China	genomic RNA	
PR50	Hepatitis C virus subtype 1b	1b	HQ912957	9033	11/28/2007	Human	Homo sapiens	China	genomic RNA	
PR52	Hepatitis C virus subtype 1b	1b	HQ912958	9033	12/20/2007	Human	Homo sapiens	China	genomic RNA	
