sequenceID	genotype	subtype	gb_isolate	gb_country_short_missing	gb_place_sampled_missing	gb_collection_year_missing	gb_collection_month_missing	gb_lab_construct_missing	gb_host_missing	gb_pubmed_id_missing	alternative_reference_url	Email of author
KT735861					Wenshan, Yunan Province							
KT735862					Wenshan, Yunan Province							
KT735863					Wenshan, Yunan Province							
KT735866					Wenshan, Yunan Province							
KT735867					Wenshan, Yunan Province							
KT735878					Wenshan, Yunan Province							
KT735881					Wenshan, Yunan Province							
KU285227									Homo sapiens			
KU285228									Homo sapiens			
KU871310												
KU871311												
KU879427												
KX107852												
KX107853												
KX107854												
KX107856												
KX107857												
KX107858												
KX107860												
KX107861												
KX107862												
KX107863												
KX107864												
KX107865												
KX107867												
KX107868												
KX107869												
KX107870												
KX107871												
KX107877												
KX107878												
KX107879												
KX107880												
KX107881												
KX107882												
KX107883												
KX107884												
KX107886												
KX107887												
KX107888												
KX107889												
KX107890												
KX107891												
KX107893												
KX107894												
KX107895												
KX107896												
KX107897												
KX138238												
KX138239												
KX138240												
KX138241												
KX138242												
KX138243												
KX138244												
KX138245												
KX138246												
KX138248												
KX138249												
KX345146												
KX345147												
KX345155												
KX345158												
KX345159												
KX345160												
KX345162												
KX345165												
KX345167												
KX345171												
KX345172												
KX345173												
KX345174												
KX345177												
KX345183												
KX345184												
KX345189												
KX345190												
KX345193												
KX345196												
KX345197												
KX345200												
KX345207												
KX345212												
KX345215												
KX345216												
KX345217												
KX345222												
KX345227												
KX345228												
KX345229												
KX345231												
KX345234												
KX345235												
KX345243												
KX345244												
KX345246												
KX950603												
KX950612												
KX950617												
KX950618												
KX950621												
KX950627												
KX950632												
KX950642												
KX950654												
L16634									Homo sapiens	add 8396266		
L38331									Homo sapiens			
L38339									Homo sapiens			
L38340									Homo sapiens			
L38341									Homo sapiens			
L38354									Homo sapiens			
NC_009827				Thailand					Homo sapiens			
U10198				HongKong						add 1317578,8396266		
U33435												
U55290				Thailand					Homo sapiens			
Y12083			EUHK2	Hongkong						add 8245854		
